album_id,artist_id,genre_id,album_name,release_year,cover_url
1,5829,24,Comedy,2018,
2,1721,24,Ghost (Acoustic),2021,
3,,24,To Begin Again,2021,
4,8376,24,Crazy Rich Asians (Original Motion Picture Soundtrack),2018,
5,2910,24,Hold On,2020,
6,16500,24,Days I Will Remember,2022,
7,,24,Is There Anybody Out There?,2014,
8,7282,24,We Sing. We Dance. We Steal Things.,2008,
9,,24,We Sing. We Dance. We Steal Things.,2008,
10,13329,24,Hunger,2019,
11,17465,24,Episode,2020,
12,7282,24,Love Is a Four Letter Word,2012,
13,3612,24,Solo,2020,
14,963,24,Bad Liar,2019,
15,,24,Hold On (Remix),2020,
16,8773,24,The Boy Who Never,2018,
17,,24,ily (i love you baby),2020,
18,,24,At My Worst,2020,
19,,24,We Sing. We Dance. We Steal Things.,2008,
20,,24,"""Cover Sessions, Vol. 4""",2015,
21,7282,24,We Sing. We Dance. We Steal Things.,2008,
22,,24,"""Cover Sessions, Vol. 3""",2015,
23,,24,Is There Anybody Out There? - Track by Track Commentary,2014,
24,7282,24,Coffee Moment,,
25,7282,24,Human - Best Adult Pop Tunes,,
26,7282,24,Mellow Adult Pop,,
27,7282,24,Holly Jolly Christmas,,
28,7282,24,Feeling Good - Adult Pop Favorites,,
29,7282,24,Christmas Time,2009,
30,7282,24,Perfect Christmas Hits,,
31,7282,24,Merry Christmas,,
32,7282,24,Christmas Music - Holiday Hits,,
33,2910,24,Christmas Country Songs 2022,,
34,,24,Human - Best Adult Pop Tunes,,
35,,24,Feeling Good - Adult Pop Favorites,,
36,,24,Mellow Bars R'n'B,,
37,8016,24,Chill Christmas Dinner,,
38,2193,24,rainy day indie,,
39,2193,24,Coffee Moment,,
40,8016,24,sadsadchristmas,,
41,4625,24,Mega Hits Autumn/Fall 2022,,
42,2193,24,Mellow Adult Pop,,
43,,24,Country Car Hits,,
44,,24,Country Road Songs,,
45,2193,24,Finest Country,,
46,,24,Easy Country,,
47,,24,Cozy Country,,
48,,24,Good Times Country,,
49,,24,Laidback Country,,
50,,24,Chillin' It - Mellow Day Country,,
51,6537,24,Trampoline (Acoustic),2020,
52,10866,24,Documentary,2017,
53,854,24,Black Bear,2015,
54,13274,24,The Bedroom Demos,2020,
55,325,24,So Far Away (Acoustic),2021,
56,854,24,Black Bear,2015,
57,1150,24,Build It Better,2021,
58,2910,24,Sleepwalking in the Rain,2020,
59,13755,24,Little Voice,2020,
60,2910,24,What's Left of You,2021,
61,17465,24,Pano,2021,
62,854,24,The Daylight EP,2013,
63,8551,24,Montage Of Heck: The Home Recordings,2015,
64,,24,"""Cover Sessions, Vol. 3""",2015,
65,16098,24,Covers,2020,
66,2546,24,Midnight Waves,2021,
67,248,24,Making All Things New,2017,
68,13755,24,What's Inside: Songs from Waitress,2015,
69,854,24,In My Veins (Feat. Erin Mccarley),2014,
70,16496,24,Under Covers,2020,
71,13274,24,Whatever It Takes,2019,
72,5354,24,America Town,2000,
73,854,24,Dive Deep,2016,
74,1516,24,You're Still The One,2021,
75,6916,24,It Doesn't Have To Make Sense,2016,
76,7282,24,Love Is a Four Letter Word,2012,
77,138,24,When the Morning Comes,2014,
78,,24,"""Eat, Pray, Love""",2010,
79,,24,Good Light,2021,
80,7282,24,Know.,2018,
81,5746,24,Mellow Adult Pop,,
82,5746,24,Break Up Songs,,
83,4625,24,Into The Wild (Music For The Motion Picture),2007,
84,5746,24,u don't deserve me,2021,
85,5746,24,Coffee Moment,,
86,4625,24,Into The Wild (Music For The Motion Picture),2007,
87,13755,24,The Blessed Unrest,2013,
88,8016,24,Slow Christmas Songs 2022,,
89,8016,24,Lonely Christmas 2022,,
90,5354,24,Bookmarks,2019,
91,15458,24,Slow Christmas Songs 2022,,
92,15458,24,Alternative Christmas 2022,,
93,8016,24,Alternative Christmas 2022,,
94,15458,24,Acoustic Christmas Campfire,,
95,15458,24,Lonely Christmas 2022,,
96,15458,24,Chill Christmas Dinner,,
97,15458,24,sadsadchristmas,,
98,15458,24,Christmas Country Songs 2022,,
99,8016,24,Del gusto de mamá,,
100,8016,24,OO's Music Grandi Successi,,
101,10866,24,言ノ葉,2017,
102,2492,24,Somebody Else (Acoustic),2021,
103,854,24,Black Bear (Hushed),2016,
104,,24,"""Cover Sessions, Vol. 3""",2015,
105,2173,24,Stand by Me,2020,
106,,24,Dear Happy,2020,
107,10777,24,chouchou,2005,
108,7574,24,You’re Beautiful (Acoustic),2020,
109,8416,24,Hikare Inochi,2021,
110,16496,24,Songs From Nashville,2019,
111,2173,24,"""Cover Sessions, Vol. 6""",2016,
112,854,24,Dive Deep (Hushed),2016,
113,1721,24,When the Party's over (Acoustic Piano),2021,
114,1281,24,All The Stars and Boulevards,2005,
115,10214,24,Living in the Shadows,2019,
116,2173,24,"""Cover Sessions, Vol. 4""",2015,
117,,24,death bed (coffee for your head),2020,
118,8376,24,You Are My Sunshine,2020,
119,7282,24,I Won't Give Up,2012,
120,,24,I Was Born To Love You,2021,
121,10358,24,Life Sucks Playlist,,
122,2684,24,Hurricane Glass,2014,
123,7747,24,Where The Mountain Meets The Valley,2012,
124,13329,24,Holding On And Letting Go - Single,2010,
125,7080,24,You Already Know,2020,
126,1721,24,Believer (Remix),2021,
127,6653,24,Stop All the World Now (Special Edition),2005,
128,1719,24,Magic,2009,
129,10202,24,Some Mad Hope,2007,
130,12688,24,Something In the Rain (Music from the Original TV Series),2018,
131,11982,24,The Way It Was,2010,
132,11982,24,Wide Awake,2017,
133,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
134,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
135,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
136,4625,24,Into The Wild (Music For The Motion Picture),2007,
137,5746,24,English Rain,2013,
138,8016,24,Eye To The Telescope,2004,
139,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
140,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
141,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
142,7080,24,I Dream of You: CALM,2020,
143,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
144,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
145,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
146,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
147,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
148,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
149,7282,24,Waiting for My Rocket to Come (Expanded Edition),2002,
150,4625,24,Into The Wild (Music For The Motion Picture),2007,
151,,24,Here with Me,2021,
152,,24,"""Tyler Ward Covers, Vol. 5""",2014,
153,6653,24,Stop All The World Now,2003,
154,,24,get better,2020,
155,8416,24,Hikare Inochi,2021,
156,,24,Let It Go,2021,
157,2910,24,What You Need,2021,
158,5354,24,The Battle for Everything,2004,
159,854,24,Nightshade,2018,
160,12688,24,"""One Spring Night (Original Television Soundtrack), Pt. 1""",2019,
161,2643,24,Under Control,2013,
162,15701,24,As It Was,2022,
163,7282,24,I'm Yours,2008,
164,7729,24,Chi Mai,1981,
165,,24,Say Something,2021,
166,11982,24,Parachute,2009,
167,,24,Take Me Back,2021,
168,16164,24,Whole Again (Acoustic Version),2021,
169,15701,24,Overpass Graffiti,2021,
170,13755,24,Little Voice,2020,
171,,24,Let Her Go,2021,
172,1072,24,Still Life,2019,
173,,24,Love Story,2020,
174,,24,Mujer con Abanico,2021,
175,786,24,In the Shadows,2012,
176,,24,Can You Feel the Love Tonight,2021,
177,2193,24,The Story,2007,
178,7080,24,Better,2021,
179,8376,24,Iris,2020,
180,15701,24,#Acoustic,2021,
181,,24,I Need You More Today,2020,
182,2173,24,"""Cover Sessions, Vol. 4""",2015,
183,7282,24,Know.,2018,
184,12688,24,Something In the Rain (Music from the Original TV Series),2018,
185,11982,24,The Way It Was,2010,
186,12510,24,When Marnie Was There Song Album - Just Know That I Love You.,2014,
187,2910,24,Tree House Tapes,2021,
188,7080,24,I Believe in You,2020,
189,7661,24,Cult Classic,2019,
190,4326,24,"""Hard Settle, Ain't Troubled""",2014,
191,13329,24,Holding On and Letting Go LP,2011,
192,7747,24,In Deepest Blue (Bonus Track Version),2015,
193,921,24,Hanggang Kailan (Umuwi Ka Na Baby),2021,
194,14694,24,No More Doubt,2020,
195,138,24,Is There Anybody Out There? - Track by Track Commentary,2014,
196,4625,24,Into The Wild (Music For The Motion Picture),2007,
197,,24,Say I Am You,2006,
198,5550,24,Thanksgiving Party,2012,
199,15110,24,Supa Chill,,
200,,24,Un tecito y a mimir,,
201,10866,24,青の光景,2017,
202,16026,24,Since U Been Gone,2021,
203,10124,24,"""One more time,One more chance""",1997,
204,8376,24,Creep,2020,
205,,24,Higher Love,2021,
