artist_id,artist_name,artist_popularity,country,genre_id
1,!nvite,41,Unknown,34.0
2,"""Puppy Dog Pals"" Cast",60,Unknown,26.0
3,"""Weird Al"" Yankovic",58,Unknown,27.0
4,#Kids,34,Unknown,26.0
5,$affie,43,Unknown,34.0
6,&ME,50,Unknown,43.0
7,'Falsettos' 2016 Broadway Company,30,Unknown,31.0
8,'Til Tuesday,28,Unknown,59.0
9,(DOLCH),22,Unknown,64.0
10,(G)I-DLE,80,South Korea,13.0
11,(G)I-DLE,80,South Korea,104.0
12,-M-,33,Unknown,96.0
13,04 Limited Sazabys,32,Unknown,103.0
14,04 Limited Sazabys,32,Unknown,75.0
15,1 Trait Danger,21,Unknown,27.0
16,10 Years,60,Unknown,70.0
17,10-FEET,34,Unknown,75.0
18,10-FEET,34,Unknown,103.0
19,100 Blaze,0,Unknown,96.0
20,1019,38,Unknown,97.0
21,102 Boyz,39,Unknown,97.0
22,10cc,71,Unknown,2.0
23,10cm,61,Unknown,11.0
24,110,41,Unknown,116.0
25,12 Stones,60,Unknown,70.0
26,1200 Micrograms,41,Unknown,61.0
27,1280 Almas,37,Unknown,80.0
28,12AM,47,Unknown,7.0
29,12th Planet,47,Unknown,48.0
30,13,19,Unknown,41.0
31,13 Block,32,Unknown,96.0
32,1349,20,Unknown,64.0
33,13th Floor Elevators,54,Unknown,52.0
34,163,38,Unknown,116.0
35,16BL,47,Unknown,61.0
36,175R,39,Unknown,75.0
37,175R,39,Unknown,103.0
38,1782,19,Unknown,73.0
39,1788-L,35,Unknown,41.0
40,19,39,Japan,12.0
41,19,39,Japan,102.0
42,1986zig,0,Unknown,97.0
43,1988,35,Unknown,51.0
44,1991,60,Unknown,46.0
45,1995,33,Unknown,96.0
46,1PLIKÉ140,0,Unknown,96.0
47,2 Best Enemies,22,Unknown,53.0
48,2 Blyga Läppar,45,Unknown,114.0
49,2 Brothers On The 4th Floor,65,Unknown,10.0
50,2 minutos,43,Unknown,85.0
