artist_name,artist_popularity,main_genre_original
(Hed) P.E.,28,industrial
36 Crazyfists,56,industrial
3TEETH,45,industrial
40 Below Summer,25,industrial
:Wumpscut:,20,industrial
A Dama,54,pagode
Acid Horse,22,industrial
Adryana E A Rapaziada,52,pagode
Aesthetic Perfection,24,industrial
Afro Nursery Rhymes,8,kids
Alexandre Pires,46,pagode
Amduscia,25,industrial
American Head Charge,23,industrial
Amy Liz,58,kids
And One,24,industrial
André Renato,50,pagode
Andy Z,31,kids
Angelspit,24,industrial
Anthony Broughton,14,kids
Apoptygma Berzerk,25,industrial
Area 11,28,industrial
Ashbury Heights,22,industrial
Assemblage 23,23,industrial
Atitude 67,51,pagode
Ayria,23,industrial
BG,47,pagode
Babyboomboom,34,kids
BadKidMacei,23,kids
Bala,68,pagode
Barry Carl,12,kids
Basho,17,kids
BeatBo,51,kids
Belo,52,pagode
Big Don,11,kids
Big Mucci,22,kids
Bile,19,industrial
Binho Simões,55,pagode
Blake Rules,23,kids
Blaqk Audio,25,industrial
Blue Stahli,55,industrial
Bokaloka,52,pagode
Bom Gosto,57,pagode
Boston Soundlabs,23,kids
Bunny Hop Dance Party,9,kids
CKY,32,industrial
Celldweller,55,industrial
Centhron,30,industrial
Cha Cha Slide DJ's,7,kids
Chemlab,19,industrial
Chicken Dance Mix DJ's,10,kids
Chicken Dance Party,8,kids
Chiclete Com Banana,45,pagode
Childrens DJ's,15,kids
Chininha,52,pagode
Choo Choo Soul,42,kids
"Christopher ""Zondaflex"" Tyler",19,kids
Christopher Zondaflex Tyler,21,kids
Circle of Dust,4,industrial
Claudia Leitte,43,pagode
Clawfinger,25,industrial
Cluster,0,industrial
Coach Kody,18,kids
Coal Chamber,24,industrial
Cody,26,kids
Cold,59,industrial
Collide,24,industrial
Combichrist,43,industrial
Cooltime Kids,48,kids
Culture Queen,12,kids
Cupid,63,kids
César Menotti,43,pagode
César Menotti & Fabiano,42,pagode
DJ Black Rock,20,kids
DJ Cotton Eye Joe,10,kids
DJ Krazy,13,kids
DYEN,22,industrial
Da Melhor Qualidade,43,pagode
Dance Dance Dance!,8,kids
Davizinho,47,pagode
Deadsy,27,industrial
Death Grips,59,industrial
Debbie Doo,32,kids
Dede Sabunge,56,kids
Delina,12,kids
Desmond Dennis,48,kids
Devine,20,industrial
Di Propósito,55,pagode
Dilsinho,53,pagode
Dive,22,industrial
Doce Encontro,51,pagode
Dope,67,industrial
Dora The Explorer,46,kids
