track_id,danceability,energy,valence,tempo,loudness,acousticness
5SuOikwiRyPMVoIQDJUgSV,0.676,0.461,0.715,87.917,-6.746,0.0322
4qPNDBW1i3p13qLCt0Ki3A,0.42,0.166,0.267,77.489,-17.235,0.924
1iJBSr7s7jYXzM8EGcbK5b,0.438,0.359,0.12,76.332,-9.734,0.21
6lfxq3CG4xtTiEg7opyCyx,0.266,0.0596,0.143,181.74,-18.515,0.905
5vjLSffimiIP26QG5WcN2K,0.618,0.443,0.167,119.949,-9.681,0.469
01MVOl9KtVTNfFiBU9I7dc,0.688,0.481,0.666,98.017,-8.807,0.289
6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,0.0765,141.284,-8.822,0.857
1EzrEOXmMH3G43AXT1y7pA,0.703,0.444,0.712,150.96,-9.331,0.559
0IktbUcnAGrvD03AWnz3Q8,0.625,0.414,0.669,130.088,-8.7,0.294
7k9GuJYLp2AzqokyEdwEw2,0.442,0.632,0.196,78.899,-6.77,0.426
4mzP5mHkRvGxdhdGdAH7EJ,0.627,0.363,0.301,99.905,-8.127,0.279
5ivF4eQBqJiVL5IAE9jRyl,0.483,0.303,0.139,133.406,-10.058,0.694
4ptDJbJl35d7gQfeNteBwp,0.489,0.314,0.607,124.234,-9.245,0.749
0X9MxHR1rTkEHDjp95F2OO,0.691,0.234,0.209,87.103,-6.441,0.777
4LbWtBkN82ZRhz9jqzgrb3,0.755,0.78,0.387,120.004,-6.084,0.124
1KHdq8NK9QxnGjdXb55NiG,0.489,0.561,0.238,83.457,-7.933,0.2
6xKeQgzfjixSUld14qUezm,0.706,0.112,0.414,110.154,-18.098,0.827
4Yo0igmcoNyat1secaH0OD,0.795,0.0841,0.609,91.803,-18.09,0.742
2qLMf6TuEC3ruGJg4SMMN6,0.625,0.414,0.669,130.088,-8.7,0.294
6CgNoAbFJ4Q4Id4EjtbXlC,0.717,0.32,0.322,107.946,-8.393,0.83
3S0OXQeoh0w6AY8WQVckRW,0.703,0.444,0.712,150.96,-9.331,0.559
210JCw2LbYD4YIs8GiZ9iP,0.678,0.351,0.569,90.032,-8.654,0.747
5TvE3pk05pyFIGdSY9j4DJ,0.407,0.147,0.0765,141.284,-8.822,0.857
0BUuuEvNa5T4lMaewyiudB,0.572,0.454,0.515,140.182,-10.286,0.477
3Hn3LfhrQOaKihdCibJsTs,0.796,0.667,0.754,97.988,-4.831,0.381
6D33wCKzWtNEgOovgeVJ7r,0.755,0.454,0.33,120.06,-9.609,0.757
5IfCZDRXZrqZSm8AwE44PG,0.62,0.309,0.664,145.363,-9.209,0.788
0dzKBptH2P5j5a0MifBMwM,0.633,0.429,0.52,143.793,-6.784,0.0444
5QAMZTM5cmLg3fHX9ZbTZi,0.62,0.309,0.664,145.363,-9.209,0.788
2qESE1ZeWly7I3YjyTXmXh,0.62,0.309,0.664,145.363,-9.209,0.788
3EQV1ZHtHvq9OnVRYIdbg3,0.62,0.309,0.664,145.363,-9.209,0.788
3ax0rfGb7exLtl02LL08U9,0.62,0.309,0.664,145.363,-9.209,0.788
1m5LC29RE52Bxy7hxvpOlL,0.593,0.455,0.564,202.019,-8.192,0.366
3H36x7buZdQD4687VmFrwY,0.296,0.206,0.202,165.4,-11.799,0.782
0xbMRcMFqxJq1Wa7tvWPtn,0.296,0.206,0.202,165.4,-11.799,0.782
6h061f44HZPj1OXO2nA45d,0.296,0.206,0.202,165.4,-11.799,0.782
62EwQLDw0dprDzuLwQ0sH1,0.409,0.153,0.18,85.262,-10.74,0.939
3lvo0I8c2qBJDLZWqExDgC,0.501,0.0952,0.316,138.016,-12.931,0.963
1ae8XfBQ3fDEvmBjFaemGV,0.606,0.326,0.414,91.626,-10.031,0.841
0adVktNVJXPZfhQe6B1NO5,0.409,0.153,0.18,85.262,-10.74,0.939
6sp6Vx3sv2l5qxPfbQkcyt,0.474,0.519,0.326,151.832,-5.291,0.281
1WFVfVjCtbmdIv7j3Fa9iy,0.568,0.301,0.142,88.029,-10.163,0.796
0e5PAxSyZ5DWWVqKANHETz,0.568,0.686,0.725,172.075,-6.635,0.15
1MLr9b1fOybO3MGiLy47Ys,0.568,0.686,0.725,172.075,-6.635,0.15
6JGjevTaqr9J1xp7YvYUKF,0.476,0.666,0.498,148.155,-3.438,0.314
7Af2YlwMZryKOQiRfwMsD2,0.568,0.686,0.725,172.075,-6.635,0.15
